,城区,位置,房型,面积,朝向,装修,楼层,时间,地标,单价,总价,PerPrice
0,东城区,华龙美晟 ,2室1厅,80.23,东,精装,高楼层(共12层),2009年,永定门,76655,615.0,7.665461797332668
1,东城区,柏林寺西 ,2室1厅,58.45,南,简装,中楼层(共16层),1994年,和平里,109496,640.0,10.949529512403764
2,东城区,南水关 ,2室1厅,62.05,南北,简装,中楼层(共14层),1989年,广渠门,91862,570.0,9.186140209508462
3,东城区,华龙美晟 ,2室1厅,81.38,西北,简装,中楼层(共12层),2009年,永定门,74957,610.0,7.495699188989924
4,东城区,新景家园东区 ,1室1厅,56.16,南,简装,低楼层(共13层),2006年,崇文门,126425,710.0,12.642450142450143
5,东城区,安化北里 ,2室1厅,69.66,南,精装,低楼层(共17层),1989年,广渠门,83262,580.0,8.326155612977319
6,东城区,东花市北里中区 ,3室1厅,72.74,南北,简装,高楼层(共6层),1994年,东花市,101183,736.0,10.118229309870774
7,东城区,北京上舍 ,3室1厅,133.06,西南,精装,高楼层(共15层),2008年,广渠门,99955,1330.0,9.995490756049902
8,东城区,金鱼池西区 ,1室0厅,45.97,东,精装,地下室(共7层),2000年,天坛,62650,288.0,6.26495540569937
9,东城区,本家润园三期 ,2室1厅,77.71,南北,简装,低楼层(共18层),2005年,东花市,90079,700.0,9.007849697593619
10,东城区,永康胡同1号院 ,3室1厅,85.07,东西,简装,中楼层(共7层),2002年,安定门,108147,920.0,10.814623251439992
11,东城区,东环居苑 ,1室1厅,60.57,南,精装,高楼层(共22层),2004年,广渠门,89979,545.0,8.997853722965164
12,东城区,鼎盛园 ,1室1厅,64.32,南,简装,低楼层(共11层),2005年,永定门,74627,480.0,7.46268656716418
13,东城区,富贵园三区 ,2室1厅,77.01,东南,精装,高楼层(共12层),2002年,东花市,102585,790.0,10.258407998961173
14,东城区,小羊宜宾胡同 ,3室1厅,78.89,南北,简装,中楼层(共16层),1992年,建国门内,106224,838.0,10.622385600202813
15,东城区,十字坡西里 ,1室1厅,37.83,南,精装,中楼层(共5层),1983年,东直门,120275,455.0,12.027491408934708
16,东城区,富贵园一区 ,2室1厅,88.43,南北,精装,中楼层(共12层),2004年,东花市,128916,1140.0,12.891552640506614
17,东城区,革新里小区 ,2室1厅,57.88,南北,简装,高楼层(共6层),1993年,永定门,73428,425.0,7.34277816171389
18,东城区,交林 ,2室1厅,59.85,南北,精装,顶层(共6层),1985年,和平里,92899,556.0,9.289891395154553
19,东城区,新景家园西区 ,1室1厅,58.45,南,精装,中楼层(共16层),2004年,崇文门,105903,619.0,10.590248075278016
20,东城区,龙潭北里八条 ,2室1厅,60.78,南,简装,中楼层(共5层),1963年,左安门,89997,547.0,8.999670944389601
21,东城区,大方家胡同 ,1室1厅,51.09,南北,简装,高楼层(共6层),2003年,朝阳门内,114504,585.0,11.450381679389313
22,东城区,左安浦园 ,1室1厅,60.8,东南,简装,底层(共16层),2004年,左安门,77303,470.0,7.730263157894737
23,东城区,聚龙花园 ,3室1厅,174.02,东,简装,低楼层(共14层),1995年,工体,57350,998.0,5.734972991610159
24,东城区,朝内大街136号院 ,3室1厅,87.37,西北,简装,高楼层(共16层),1999年,朝阳门内,109878,960.0,10.9877532333753
25,东城区,新景家园西区 ,2室1厅,70.7,南北,精装,中楼层(共6层),2004年,崇文门,106083,750.0,10.608203677510607
26,东城区,六铺炕 ,2室1厅,57.54,东西,精装,中楼层(共6层),1980年,安定门,101843,586.0,10.184219673270768
27,东城区,东方银座 ,1室1厅,57.78,西,简装,高楼层(共25层),2003年,东直门,88266,510.0,8.826583592938732
28,东城区,新景家园东区 ,2室1厅,81.0,东西,精装,底层(共17层),2004年,崇文门,90741,735.0,9.074074074074074
29,东城区,景泰西里西区 ,1室1厅,49.83,南,简装,底层(共10层),2003年,永定门,79671,397.0,7.967088099538431
30,东城区,景泰西里65号院 ,2室1厅,61.47,南北,简装,中楼层(共6层),1985年,永定门,75810,466.0,7.580933788840085
31,东城区,幸福家园二期 ,2室1厅,65.48,北,简装,低楼层(共13层),2003年,广渠门,104613,685.0,10.461209529627366
32,东城区,华龙美晟 ,2室1厅,80.07,西,精装,高楼层(共12层),2009年,永定门,75559,605.0,7.555888597477208
33,东城区,民安小区东直门内北小街 ,2室1厅,74.56,东西,简装,底层(共16层),2003年,东直门,92543,690.0,9.254291845493562
34,东城区,水上华城 ,3室2厅,164.68,东西,精装,低楼层(共20层),2004年,广渠门,81978,1350.0,8.197716784066067
35,东城区,海运仓南里一区 ,2室1厅,73.66,南北,精装,中楼层(共7层),1998年,东直门,104535,770.0,10.45343469997285
36,东城区,和平里四区 ,3室1厅,56.44,南北,精装,顶层(共6层),1985年,和平里,109852,620.0,10.985116938341601
37,东城区,冠城名敦道 ,1室1厅,61.7,西北,精装,中楼层(共23层),2009年,广渠门,82659,510.0,8.26580226904376
38,东城区,新景家园东区 ,3室1厅,88.45,东西,简装,底层(共18层),2005年,崇文门,100622,890.0,10.062182023742228
